,concept:name
42,170
52,110
44,104
53,96
54,93
51,89
50,88
46,73
47,64
61,49
48,49
13,44
45,43
59,42
60,41
57,39
64,36
66,35
58,34
62,33
56,31
55,29
75,29
43,27
63,22
41,22
19,22
67,20
49,20
25,20
40,19
68,18
76,18
65,16
72,16
21,15
74,15
77,15
26,15
20,14
36,14
69,14
38,14
24,13
6,13
14,12
70,12
35,12
71,11
29,11
31,11
81,11
32,11
28,11
16,11
22,10
17,10
78,10
23,10
39,9
27,9
37,9
82,9
73,9
30,9
10,9
18,8
34,8
12,8
79,8
33,7
80,7
7,7
9,6
11,6
86,6
15,5
87,5
84,5
5,4
93,4
92,4
88,4
91,3
90,3
85,3
101,3
89,2
100,2
4,2
102,2
83,2
3,2
103,2
94,2
8,2
95,1
134,1
115,1
117,1
98,1
108,1
130,1
2,1
97,1
1,1
154,1
107,1
116,1
96,1
