,concept:name
42,99
52,94
53,85
54,77
51,76
44,64
50,58
46,50
47,40
61,37
60,36
45,34
64,33
66,32
57,29
62,28
75,26
58,26
48,25
59,21
56,21
63,20
55,19
76,18
41,16
77,15
72,15
40,14
43,14
25,13
6,13
67,12
68,12
38,12
19,12
36,10
65,10
24,10
49,10
78,10
26,9
81,9
16,9
29,9
70,8
31,8
21,8
22,8
37,8
82,8
73,8
69,8
33,7
14,7
7,7
10,7
35,7
32,7
71,7
23,6
74,6
30,6
20,6
12,6
79,6
13,6
86,5
17,5
80,5
27,5
39,5
28,5
9,4
18,4
93,4
11,4
92,4
87,4
88,4
91,3
84,3
85,3
5,3
34,3
102,2
89,2
4,2
83,2
101,2
90,2
94,1
103,1
134,1
115,1
117,1
98,1
108,1
15,1
3,1
107,1
100,1
95,1
97,1
8,1
2,1
96,1
