,concept:name
44,379
42,285
46,280
40,220
41,187
45,178
39,164
38,157
43,156
54,153
53,134
52,133
51,131
50,126
47,107
48,102
55,87
56,80
36,80
37,77
61,74
60,73
59,69
57,63
49,60
13,60
35,59
62,54
58,54
64,52
66,51
7,44
63,38
75,37
19,36
67,35
18,35
5,33
68,32
72,32
14,31
26,31
76,30
21,29
25,28
17,28
24,27
69,26
22,26
70,25
6,25
65,25
33,25
12,25
20,25
16,24
74,24
77,23
11,23
34,23
73,22
31,22
23,21
78,20
32,20
30,19
80,19
27,19
82,18
28,18
71,18
29,18
10,17
9,17
81,14
79,11
15,11
3,9
8,8
4,8
84,7
86,7
88,7
89,6
87,6
85,6
83,6
98,5
93,5
91,4
94,4
92,4
103,3
90,3
101,3
2,3
102,2
124,2
100,2
1,2
134,1
117,1
97,1
108,1
115,1
116,1
107,1
95,1
121,1
154,1
130,1
96,1
