,concept:name
3,3429
6,1874
10,361
8,328
7,294
24,286
26,264
28,260
22,236
12,226
20,222
30,207
32,202
18,193
16,182
9,181
31,176
34,175
33,160
35,157
14,155
38,147
27,145
36,144
25,143
29,142
37,129
11,127
39,119
42,117
40,116
41,104
23,97
44,95
43,94
46,90
45,84
13,84
50,82
48,78
49,70
47,69
21,67
54,61
19,56
15,54
51,53
17,52
52,50
56,47
57,46
60,46
55,44
53,42
58,38
61,34
59,31
64,30
62,29
69,28
66,26
70,26
68,22
63,22
74,18
71,17
72,17
78,16
67,15
76,15
73,14
82,14
86,13
75,13
77,12
65,12
80,11
81,10
84,10
79,9
90,7
85,6
92,5
91,5
88,5
87,4
94,4
95,4
97,4
83,4
109,4
104,4
111,3
107,3
93,3
96,3
99,3
100,3
118,3
116,2
133,2
119,2
125,2
127,2
130,2
113,2
115,2
101,2
112,2
108,2
102,2
98,2
89,2
141,1
170,1
167,1
163,1
161,1
159,1
151,1
142,1
131,1
137,1
110,1
128,1
126,1
103,1
124,1
122,1
106,1
175,1
